female;Jasmine;Glasheen;Timóteo;Brazil;11/22/1995;(31) 6123-8330;A+;76.1;161
male;Adriano;Piazza;New Braunfels;United States;08.03.1987;830-537-6125;O-;84.9;178
male;Fulvio;Angelo;Várzea Grande;Brazil;8/31/1992;(65) 2618-5160;O+;67.5;177
male;Stephan;Hirsch;Zawiercie;Poland;3/20/1978;53 414 94 42;O+;73.1;187
female;Niamh;Miller;Tárbena;Spain;9/29/1987;711 118 690;A-;60.3;171
female;Serafina;Jabłońska;Newark;United States;7/22/1952;267-335-8800;B+;69.9;168
female;Adelinda;Castiglione;Victoria;Canada;10.12.1996;250-483-6040;O+;73.1;165
male;Zac;Town;Łódź;Poland;10.04.1953;60 527 60 25;A+;80.9;179
male;Matthew;Lansell;Arapiraca;Brazil;05.01.1998;(82) 5742-3554;O+;82;178
male;Wojciech;Michalski;Kistormás;Hungary;05.07.1946;(74) 765-281;A+;76.7;163
male;Lukas;Dreher;Athabasca;Canada;06.08.1946;780-675-8180;B+;77.9;180
male;Crescenzo;Napolitani;Dunaszeg;Hungary;04.01.1976;(96) 331-838;O+;111.7;182
female;Tekla;Wojciechowska;Palmeira;Portugal;3/24/1965;212 536 101 205;B+;51.5;161
female;Heike;Rothstein;Welkenraedt;Belgium;08.05.1952;0496 92 57 07;AB-;71.2;160
female;Morgana;Deslauriers;Tavernes Blanques;Spain;12/30/1998;770 512 381;O+;87.2;170
female;Silvana;Calabresi;Alfacar;Spain;6/30/1935;613 235 124;O+;62.9;158
male;Bailey;Clemes;Tenneville;Belgium;12.06.1950;0472 82 59 96;B+;77.4;183
male;Horace;Fajardo;Montemayor;Spain;06.09.1963;647 179 514;B+;76.9;172
male;Taylor;Cooper;Dallas;United States;7/24/1944;570-631-3338;O+;73.8;164
female;Cecylia;Kowalska;Mount Pleasant;Canada;09.02.1959;519-484-5578;B+;85.5;163
female;Ruth;Seidel;GASSEN;Austria;4/21/1935;0660 249 12 70;O+;71.7;161
female;Salena;Adams;SOISSONS;France;05.04.1976;03.91.06.24.44;A+;60;174
male;Jens;Dietrich;NGUNNAWAL;Australia;11.07.1980;(02) 6120 7752;B+;78.1;182
male;Callum;Dyer;Lafayette;United States;7/31/1936;270-271-8527;A+;100.1;180
